image,ctc_cer,attn_cer,ctc_cer_int8,attn_cer_int8,ctc_wer,attn_wer,ctc_wer_int8,attn_wer_int8,ctc_time,attn_time,ctc_time_int8,attn_time_int8
all_data/dataset/test/image_44580.jpg,0.06880733944954129,0.0963302752293578,0.06422018348623854,0.10091743119266056,0.37142857142857144,0.14285714285714285,0.34285714285714286,0.2,0.7845466136932373,0.8753280639648438,0.768972635269165,0.9099700450897217
all_data/dataset/test/image_11531.jpg,0.006896551724137931,0.027586206896551724,0.006896551724137931,0.006896551724137931,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.8337855339050293,0.871241569519043,0.7654736042022705,0.8764758110046387
all_data/dataset/test/image_76503.jpg,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8395500183105469,0.8756680488586426,0.9347455501556396,0.8721764087677002
all_data/dataset/test/image_75884.jpg,0.16877637130801687,0.20253164556962025,0.16033755274261605,0.19831223628691982,0.6176470588235294,0.38235294117647056,0.5882352941176471,0.35294117647058826,0.828455924987793,0.9353053569793701,0.9387574195861816,0.9636878967285156
all_data/dataset/test/image_15468.jpg,0.014285714285714285,0.0,0.014285714285714285,0.0,0.08333333333333333,0.0,0.08333333333333333,0.0,0.7708888053894043,0.8721542358398438,0.7673337459564209,0.8735709190368652
all_data/dataset/test/image_84966.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8008255958557129,0.869438886642456,0.8309891223907471,0.892228364944458
all_data/dataset/test/image_56611.jpg,0.010526315789473684,0.015789473684210527,0.010526315789473684,0.015789473684210527,0.05714285714285714,0.08571428571428572,0.05714285714285714,0.08571428571428572,0.8165864944458008,0.8974490165710449,0.7916853427886963,0.9102914333343506
all_data/dataset/test/image_85489.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8092353343963623,0.9298672676086426,0.7825744152069092,0.8154420852661133
all_data/dataset/test/image_23997.jpg,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.021505376344086023,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.8052515983581543,0.86922287940979,0.7850992679595947,0.8575630187988281
all_data/dataset/test/image_79107.jpg,0.04,0.04,0.04,0.04,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.8047895431518555,0.9555089473724365,0.7572441101074219,0.8987405300140381
all_data/dataset/test/image_05455.jpg,0.0,0.017964071856287425,0.0,0.017964071856287425,0.0,0.041666666666666664,0.0,0.041666666666666664,0.8448765277862549,0.8924343585968018,0.8124823570251465,0.8574883937835693
all_data/dataset/test/image_08078.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7804291248321533,0.8767430782318115,0.8203539848327637,0.8236596584320068
all_data/dataset/test/image_31204.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8287813663482666,0.8544907569885254,0.7944374084472656,0.9024357795715332
all_data/dataset/test/image_56098.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7907199859619141,0.8916690349578857,0.7815918922424316,0.882554292678833
all_data/dataset/test/image_63850.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7962989807128906,0.9271080493927002,0.8348445892333984,0.8638815879821777
all_data/dataset/test/image_54475.jpg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.794414758682251,0.9829130172729492,0.7707195281982422,0.8292450904846191
all_data/dataset/test/image_62636.jpg,0.06854838709677419,0.23790322580645162,0.06854838709677419,0.23387096774193547,0.4,0.4,0.4,0.37142857142857144,0.8133745193481445,0.9178526401519775,0.7433850765228271,0.8836722373962402
all_data/dataset/test/image_59080.jpg,0.37089201877934275,0.2676056338028169,0.38497652582159625,0.19248826291079812,0.9090909090909091,0.696969696969697,0.9090909090909091,0.696969696969697,0.8292098045349121,0.9153668880462646,0.8107929229736328,0.8941061496734619
