image,ctc_cer,attn_cer,easy_cer,ctc_wer,attn_wer,easy_wer,ctc_time,attn_time,easy_time
all_data/dataset/test/image_22759.jpg,0.812206572769953,0.7464788732394366,1.0,0.9714285714285714,1.0,1.0,0.27613282203674316,0.5130836963653564,0.9665894508361816
all_data/dataset/test/image_08176.jpg,0.021052631578947368,0.021052631578947368,0.1368421052631579,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25995540618896484,0.5282251834869385,3.220142126083374
all_data/dataset/test/image_67408.jpg,0.4308300395256917,0.5138339920948617,0.7944664031620553,0.8857142857142857,0.8285714285714286,1.0,0.26029491424560547,0.5419290065765381,9.320268154144287
all_data/dataset/test/image_15081.jpg,0.05,0.17727272727272728,0.18181818181818182,0.2571428571428571,0.4857142857142857,0.4857142857142857,0.2584691047668457,0.5183629989624023,4.310325860977173
all_data/dataset/test/image_26106.jpg,0.0425531914893617,0.0425531914893617,0.0,0.2222222222222222,0.2222222222222222,0.0,0.2589738368988037,0.5410666465759277,1.5465476512908936
all_data/dataset/test/image_52288.jpg,0.08333333333333333,0.08333333333333333,0.25,0.5,0.5,1.0,0.26566362380981445,0.524935245513916,1.4196088314056396
all_data/dataset/test/image_87352.jpg,0.7745664739884393,0.5895953757225434,0.953757225433526,1.0,0.9285714285714286,1.0,0.25612449645996094,0.5169398784637451,3.7549538612365723
all_data/dataset/test/image_80709.jpg,0.0,0.0,0.42105263157894735,0.0,0.0,0.6666666666666666,0.26651954650878906,0.5431418418884277,1.4795467853546143
all_data/dataset/test/image_29706.jpg,0.08771929824561403,0.13157894736842105,0.13596491228070176,0.5,0.16666666666666666,0.43333333333333335,0.2682504653930664,0.5703935623168945,4.271068334579468
all_data/dataset/test/image_51812.jpg,0.0,0.0,0.024,0.0,0.0,0.15,0.2968318462371826,0.5515892505645752,2.5486605167388916
all_data/dataset/test/image_22606.jpg,0.045454545454545456,0.030303030303030304,0.7575757575757576,0.18181818181818182,0.18181818181818182,0.9090909090909091,0.2560708522796631,0.5606865882873535,1.854468584060669
all_data/dataset/test/image_49573.jpg,0.024390243902439025,0.0,0.04878048780487805,0.14285714285714285,0.0,0.2857142857142857,0.2616465091705322,0.5252635478973389,1.4210753440856934
all_data/dataset/test/image_47311.jpg,0.0,0.0,0.022727272727272728,0.0,0.0,0.14285714285714285,0.27052855491638184,0.5738766193389893,2.653672218322754
