epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,160.368,1.36147,0.69618,1.09923,0.95457,0.9596,0.98103,0.54541,1.49486,0.69369,1.22146,0.0009506,0.0009506,0.0009506
55,162.874,1.37791,0.68888,1.11748,0.95003,0.96019,0.98471,0.56687,1.4431,0.71165,1.21737,0.0009308,0.0009308,0.0009308
56,165.46,1.35294,0.71019,1.11361,0.95379,0.9697,0.98469,0.55271,1.49666,0.69731,1.25997,0.000911,0.000911,0.000911
57,167.927,1.34352,0.6851,1.11041,0.95083,0.9596,0.97977,0.54791,1.49857,0.68868,1.26479,0.0008912,0.0008912,0.0008912
58,170.406,1.42315,0.69201,1.13459,0.94993,0.99495,0.98567,0.56059,1.40283,0.67015,1.20687,0.0008714,0.0008714,0.0008714
59,172.873,1.31269,0.69942,1.11291,0.93461,0.9798,0.98531,0.56483,1.43073,0.66984,1.19723,0.0008516,0.0008516,0.0008516
60,175.365,1.30898,0.67296,1.09588,0.93832,0.9798,0.98814,0.56651,1.44953,0.6806,1.19356,0.0008318,0.0008318,0.0008318
61,177.823,1.34816,0.68209,1.09358,0.95053,0.97052,0.9888,0.59137,1.36786,0.65936,1.16972,0.000812,0.000812,0.000812
62,180.421,1.32294,0.66069,1.09303,0.95391,0.96465,0.98945,0.59849,1.35907,0.66048,1.17503,0.0007922,0.0007922,0.0007922
63,182.996,1.34243,0.67347,1.11014,0.93444,0.9798,0.98765,0.58482,1.3776,0.67326,1.17383,0.0007724,0.0007724,0.0007724
64,185.552,1.30205,0.65615,1.09338,0.93759,0.9863,0.98833,0.56852,1.4247,0.68005,1.16864,0.0007526,0.0007526,0.0007526
65,188.058,1.29817,0.6544,1.07348,0.94484,0.9697,0.98638,0.5692,1.41367,0.66003,1.16215,0.0007328,0.0007328,0.0007328
66,190.592,1.34556,0.66395,1.08032,0.93678,0.9899,0.98611,0.57217,1.39936,0.65589,1.17561,0.000713,0.000713,0.000713
67,193.119,1.35301,0.65271,1.09557,0.95472,0.95848,0.98498,0.57862,1.36475,0.65319,1.16215,0.0006932,0.0006932,0.0006932
